Job_Role,Skills
Data Scientist,python sql machine learning data analysis pandas
DevOps Engineer,aws docker kubernetes ci cd linux automation
Backend Developer,java python sql apis microservices nodejs
Frontend Developer,html css javascript react angular ui ux
Cloud Architect,aws azure gcp cloud networking security
Machine Learning Engineer,python tensorflow pytorch deep learning ai
Database Administrator,sql postgresql mongodb database optimization
Full Stack Developer,javascript react nodejs html css mongodb sql
Cybersecurity Analyst,security networking linux firewalls python
Mobile Developer,swift kotlin android ios flutter react native
